PERSON	GPE	ORG
oI (	Santa Monica-Malibu Board	Legislative Committee
Gov Info	Santa Monica	California Community College Trustees
JO KATZ		Santa Monica College Trustee
David Roper		Department of Education Legislative Field Committee on Special Education Master
Jo Katz		Community Service
CA 90405		Santa Monica Community College
		National School Board Association Task Force
		the community college system
		Selection Committee
		Governors Search Committee
		Committee of Credentials
		California Trustee Representative for
		Community College Commission
