ORG	GPE	NORP	PERSON
NATIONAL ORGANIZATION	California	Democrats	Barry Gordon’s
Congress	America		BARRY Gorpon
American Federation of Teachers			Barry Gordon
the National Organization for Women and Women For			Barry
PAC Chair			Linda Berg
California Democratic Party			Newt Gingrich
Radical Right			
the Screen Actors Guild			
National Organization for Women			
National Organization for Women 			
the Radical Right			
the Coalition for Health Security			
