ORG	PERSON	GPE
AB2188	Phil Hawkins	California
Assembly	Hawkins	Sheriffs
State	Phil Hawkins	U.S.
Assembly	Sacramer	
the Long Beach Press	Betty Karnette	
california Democratic Party Non-Profit Org	Betty	
Senate	Phil Hawkins	
Telegram	Morey	
the L.A. County Professional Peace Officers Assn	Hawkins	
	Gov Info	
	Tim Morey	
