GPE	NORP	ORG	PERSON
Santa Monica	Americans	SCHOOL BOARD	Ilona Jo Katz
U.S.	Americans	Santa Monica Firefighters Association	Asha Greenberg
S.M.I		the City Council's	mo~ Frank Schwengel
Harlan		Citizens for a	CA 90401
Santa Monica		the Santa Monica Commission	Asha Greenberg
Safe Santa Monica		Santa Monicans for Renters Rights, Asha leads	Monica History
		City Council	Daralyn Reed
		CA 90401	Frank Schwengel
			Shari Davis
