GPE	ORG	PERSON
Sacramento	POLITICAL	Gov Info
US	CA 95814 Non-Profit	Maps
California	the California Democratic Party	Torrance
Las Vegas	ASSEMBLY	Dan Walker
San Fran-	Walker	Bill Applegate
Washington D.C.	Council	Katy Geissert -
Atlanta	TAB	Dan Walker
Torrance City	Four Seasons Hotel	
	Yosemite National Park	
	Ritz Carlton	
	the Torrance City Council	
