ORG	PERSON	GPE
USA Direct	Gov Info	Van Nuys
Valley Police Division	Richard Alarcon	Los Angeles
General Motors	Richard Riordan	Taidence
Valley Division	Willie Williams	
This Police Division	pag ed os	
ge	Ajo	
teh ge i department	Richard Riordan	
mt Policy	Los Angel	
Got Pont	Mee	
Cone	mimi	
pati	Granted	
LAPD		
Department		
Opponents of Propssition 1		
