GPE	ORG	PERSON
Santa Monica City	City Council	Michael Feinstein
U.S.	City Council	Roger Donaldson
SANTA MONICA - 	POLITICAL	Treasurer
Santa Monica 90409		Gov Info
		Michael Feinstein
