GPE	NORP	ORG	PERSON
Sacramento	Assemblywoman	Chair	Gov Info
Sacramento	Democratic	Party	Debra Bowen
Los Angeles	Assemblywoman	ASSEMBLY	Kathy Campbell
		Torrance School Board	Margaret Echevarria
		Redondo Beach School Board	Gary Kuwahara
		Manhattan Beach School Board	K-3
		California Teachers Association	Mary Lou Weiss
		Los Angeles School Board	Mark Slavkin
		the State Assembly	Michelle Memmott
		Torrance Teachers Association	¢ Bowen
		El Segundo School Board	Elisabeth Wilson
		United Teachers	Rebecca Sargent
		Hermosa Beach School Board	Bowen
			Vicki Garcia
			Debra Bowen
			Dave Sargent
			Owen Griffith
			Mary Rogers
			Catherine McCurdy
			Barbara Dunsmoor
			Zeke Zeidler
			Christine Sherill
