GPE	ORG	PERSON
Santa Monica	POLITICAL	Gov Info
SANTA MONICA	SMRR	CA Permit
U.S.	the City Council	Judy Abdo
Santa Monica	Santa Monicans for Renters Rights (SMRR	Denny Zane
	Santa Monicans for Renters’ Rights (SMRR	Leslie Lambert
	Rent Board Members Dolores Press	Paul
	City Council	Brad Jones
	SMRR Co-Chair	Paul Rosenstein
	Council	Robert Niemann
	Rent Board	
